        时间          AD值     mor值    发射机温度    发射机湿度   接收机温度  接收机湿度 
2017/01/06 17:21:34    4601       12          242           28            21          19
2017/01/06 17:21:35    4601       12          18           28            21          19
2017/01/06 17:21:35    4601       58108          18           28            21          19
2017/01/06 17:21:35    4601       524          18           28            21          19
2017/01/06 17:21:35    249       524          18           28            21          19
2017/01/06 17:21:35    4601       12          242           35            165          52
2017/01/06 17:21:35    4601       12          242           35            165          52
2017/01/06 17:21:35    4601       12          242           35            21          19
2017/01/06 17:21:35    4601       12          242           28            21          19
2017/01/06 17:21:36    4601       12          18           28            21          19
2017/01/06 17:21:36    4601       58108          18           28            21          19
2017/01/06 17:21:36    4601       524          18           28            21          19
2017/01/06 17:21:36    249       524          18           28            21          19
2017/01/06 17:21:36    4601       12          242           35            165          52
2017/01/06 17:21:36    4601       12          242           35            165          52
2017/01/06 17:21:36    4601       12          242           35            21          19
2017/01/06 17:21:36    4601       12          242           28            21          19
2017/01/06 17:21:36    4601       12          18           28            21          19
2017/01/06 17:21:37    4601       58108          18           28            21          19
2017/01/06 17:21:37    4601       524          18           28            21          19
2017/01/06 17:21:37    249       524          18           28            21          19
2017/01/06 17:21:37    4601       12          242           35            165          52
2017/01/06 17:21:37    4601       12          242           35            165          52
2017/01/06 17:21:37    4601       12          242           35            21          19
2017/01/06 17:21:37    4601       12          242           28            21          19
2017/01/06 17:21:37    4601       12          18           28            21          19
2017/01/06 17:21:38    4601       58108          18           28            21          19
2017/01/06 17:21:38    4601       524          18           28            21          19
2017/01/06 17:21:38    249       524          18           28            21          19
2017/01/06 17:21:38    4601       12          242           35            165          52
2017/01/06 17:21:38    4601       12          242           35            165          52
2017/01/06 17:21:38    4601       12          242           35            21          19
2017/01/06 17:21:38    4601       12          242           28            21          19
2017/01/06 17:21:38    4601       12          18           28            21          19
2017/01/06 17:21:38    4601       58108          18           28            21          19
2017/01/06 17:21:39    4601       524          18           28            21          19
2017/01/06 17:21:39    249       524          18           28            21          19
2017/01/06 17:21:39    4601       12          242           35            165          52
2017/01/06 17:21:39    4601       12          242           35            165          52
2017/01/06 17:21:39    4601       12          242           35            21          19
2017/01/06 17:21:39    4601       12          242           28            21          19
2017/01/06 17:21:39    4601       12          18           28            21          19
2017/01/06 17:21:39    4601       58108          18           28            21          19
2017/01/06 17:21:40    4601       524          18           28            21          19
2017/01/06 17:21:40    249       524          18           28            21          19
2017/01/06 17:21:40    4601       12          242           35            165          52
2017/01/06 17:21:40    4601       12          242           35            165          52
2017/01/06 17:21:40    4601       12          242           35            21          19
2017/01/06 17:21:40    4601       12          242           28            21          19
2017/01/06 17:21:40    4601       12          18           28            21          19
2017/01/06 17:21:40    4601       58108          18           28            21          19
2017/01/06 17:21:40    4601       524          18           28            21          19
2017/01/06 17:21:41    249       524          18           28            21          19
2017/01/06 17:21:41    4601       12          242           35            165          52
2017/01/06 17:21:41    4601       12          242           35            165          52
2017/01/06 17:21:41    4601       12          242           35            21          19
2017/01/06 17:21:41    4601       12          242           28            21          19
2017/01/06 17:21:41    4601       12          18           28            21          19
2017/01/06 17:21:41    4601       58108          18           28            21          19
2017/01/06 17:21:41    4601       524          18           28            21          19
2017/01/06 17:21:42    249       524          18           28            21          19
2017/01/06 17:21:42    4601       12          242           35            165          52
2017/01/06 17:21:42    4601       12          242           35            165          52
2017/01/06 17:21:42    4601       12          242           35            21          19
2017/01/06 17:21:42    4601       12          242           28            21          19
2017/01/06 17:21:42    4601       12          18           28            21          19
2017/01/06 17:21:42    4601       58108          18           28            21          19
2017/01/06 17:21:42    4601       524          18           28            21          19
2017/01/06 17:21:43    249       524          18           28            21          19
2017/01/06 17:21:43    4601       12          242           35            165          52
2017/01/06 17:21:43    4601       12          242           35            165          52
2017/01/06 17:21:43    4601       12          242           35            21          19
2017/01/06 17:21:43    4601       12          242           28            21          19
2017/01/06 17:21:43    4601       12          18           28            21          19
2017/01/06 17:21:43    4601       58108          18           28            21          19
2017/01/06 17:21:43    4601       524          18           28            21          19
2017/01/06 17:21:43    249       524          18           28            21          19
2017/01/06 17:21:44    4601       12          242           35            165          52
2017/01/06 17:21:44    4601       12          242           35            165          52
2017/01/06 17:21:44    4601       12          242           35            21          19
2017/01/06 17:21:44    4601       12          242           28            21          19
2017/01/06 17:21:44    4601       12          18           28            21          19
2017/01/06 17:21:44    4601       58108          18           28            21          19
